trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,0,-83.93576581921876,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",20,0,-14.692395291181654,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",30,12,-62.0784190658596,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",30,0,-39.49004676625103,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,4,-10.056434256051535,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",20,8,7.32476633845408,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",20,12,11.745852415856172,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,6,-7.3248414993753945,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454966}",20,11,-41.13633146127597,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37723664692350417}",30,11,16.14670466654611,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426916}",25,15,10.631376427791029,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972644}",25,0,-86.6117695083568,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.3660323412732292}",25,0,-28.074010550974347,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.3623720178604969}",35,2,-78.19740713371921,"{0: 25, 1: 2, 2: 4, 3: 1, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3587482976818919}",20,14,11.520258692967886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.355160814705073}",25,18,9.619000548699816,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35160920655802225}",30,24,12.1607211766218,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.348093114492442}",20,1,21.51391092683243,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3446121833475176}",30,4,-34.29797320088924,"{0: 21, 1: 1, 2: 2, 3: 2, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",30,16,-36.083094555170824,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.337754400898902}",20,3,26.43602012892301,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,4,0.3798042295477231,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",20,8,25.541845480380022,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,9,-10.312038067425371,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",30,13,-60.788710414947474,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",25,14,-31.202437393526914,"{0: 8, 1: 1, 2: 0, 3: 2, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,0,-31.22500252387552,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",25,0,-3.301133592894427,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",25,4,8.877920926562489,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",25,17,-4.010271884228484,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.3054590259283046}",20,5,-44.61698815382322,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.30240443566902153}",30,22,13.541834398827225,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.2993803913123313}",20,8,-2.4986764091523197,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.296386587399208}",20,13,5.906103151027581,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2934227215252159}",35,3,22.519658811240664,"{0: 29, 1: 2, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",20,16,6.471470931593098,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",20,11,-33.181038804811564,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",20,10,-0.27106816801461386,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",20,12,-47.009013031515956,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",25,15,-9.363273854973485,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",20,13,11.141384403129,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
